country, score
China,100
Singapur,23
Bhutan,
Nepal,20
Macau,
Hongkong,19
Vanuatu,
Madagaskar,
Dschibuti,
Taiwan,16
Bangladesch,15
Malawi,
Tunesien,14
Marokko,14
Pakistan,13
Kosovo,
Südkorea,13
Portugal,13
Cookinseln,
Libanon,12
Westsahara,
Philippinen,12
Kanada,12
Sri Lanka,12
St. Helena,
Malta,
Malaysia,11
Kenia,11
Vereinigte Arabische Emirate,11
Gibraltar,
Luxemburg,
Norwegen,11
Salomonen,
Malediven,
Australien,10
Botsuana,
Färöer,
Ruanda,
Sint Maarten,
Mauritius,
Somalia,
Ghana,9
Brunei Darussalam,
Island,
Israel,9
Neuseeland,8
Indien,8
Mayotte,
Estland,
Schweden,8
Schweiz,8
Nordmazedonien,
Sierra Leone,
Belgien,8
Dänemark,8
Französisch-Polynesien,
Palau,
Lesotho,
Albanien,
Ålandinseln,
Katar,
Algerien,7
Mauretanien,
Fidschi,
Myanmar,
Jamaika,
Papua-Neuguinea,
Kaimaninseln,
Mongolei,
Nördliche Marianen,
Frankreich,7
Andorra,
Namibia,
Lettland,
Vereinigtes Königreich,6
Österreich,6
Niederlande,6
Deutschland,6
Vereinigte Staaten,6
Benin,
Südafrika,6
Togo,
Tansania,
Aruba,
Nigeria,6
Irland,6
Curaçao,
Zypern,
Georgien,
Réunion,
Litauen,6
Palästina,
Karibische Niederlande,
Montenegro,
Armenien,
Äthiopien,
Bermuda,
Trinidad und Tobago,
Oman,
Côte d’Ivoire,
Neukaledonien,
São Tomé und Príncipe,
Seychellen,
Kongo-Brazzaville,
Bosnien und Herzegowina,
Liechtenstein,
Republik Moldau,
Guyana,
Grenada,
Cabo Verde,
San Marino,
Ungarn,5
Belize,
Dominica,
Slowenien,
Guadeloupe,
Britische Jungferninseln,
Ukraine,5
Amerikanische Jungferninseln,
Antigua und Barbuda,
Guam,
Senegal,
Jordanien,5
St. Lucia,
Gabun,
Costa Rica,5
Serbien,5
Komoren,
Kolumbien,5
Bolivien,5
St. Barthélemy,
Isle of Man,
Uganda,
Mosambik,
Guinea,
Burkina Faso,
Aserbaidschan,
Spanien,5
Rumänien,4
Martinique,
Barbados,
Bulgarien,4
Französisch-Guayana,
Sambia,
Jersey,
Finnland,4
Samoa,
Gambia,
Bahrain,
Tonga,
Japan,4
El Salvador,
St. Martin,
Kroatien,4
Guernsey,
Angola,
Timor-Leste,
Vietnam,4
Kuwait,
St. Vincent und die Grenadinen,
Slowakei,4
Simbabwe,
Suriname,
Liberia,
Tschechien,4
Tschad,
Dominikanische Republik,4
Nicaragua,
Panama,
Guatemala,4
Puerto Rico,
Grönland,
Honduras,
Griechenland,4
Niger,
Haiti,
Kamerun,
Kirgisistan,
Uruguay,
Kasachstan,3
Brasilien,3
Burundi,
Peru,3
Kambodscha,
Ecuador,3
Afghanistan,
Polen,3
Chile,3
Mali,
Italien,3
Mexiko,3
Usbekistan,
St. Kitts und Nevis,
Bahamas,
Jemen,
Argentinien,3
Laos,
Irak,3
Ägypten,2
Indonesien,2
Paraguay,
Sudan,
Südsudan,
Äquatorialguinea,
Eswatini,
Turks- und Caicosinseln,
Amerikanisch-Samoa,
Saudi-Arabien,2
Belarus,
Thailand,2
Libyen,
Russland,2
Syrien,
Türkei,2
Kongo-Kinshasa,
Venezuela,
Kuba,
Iran,1
Zentralafrikanische Republik,
Guinea-Bissau,
Tadschikistan,
Turkmenistan,
Nauru,
Falklandinseln (Malwinen),
Anguilla,
Antarktis,
Französische Süd- und Antarktisgebiete,
Bouvetinsel,
Kokosinseln,
Weihnachtsinsel,
Eritrea,
Mikronesien,
Heard und McDonaldinseln,
Britisches Territorium im Indischen Ozean,
Kiribati,
Monaco,
Marshallinseln,
Montserrat,
Norfolkinsel,
Niue,
Pitcairninseln,
Nordkorea,
Südgeorgien und die Südlichen Sandwichinseln,
Spitzbergen und Jan Mayen,
St. Pierre und Miquelon,
Tokelau,
Tuvalu,
Amerikanische Überseeinseln,
Vatikanstadt,
Wallis und Futuna,
