	Topic 1 Weights	Topic 1 keywords	Topic 2 Weights	Topic 2 keywords	Topic 3 Weights	Topic 3 keywords	Topic 4 Weights	Topic 4 keywords	Topic 5 Weights	Topic 5 keywords
0	0.024	google	0.023	gpt	0.018	openai	0.008	language	0.023	gpt
1	0.013	microsoft	0.020	openai	0.009	future	0.006	make	0.013	openai
2	0.011	bing	0.007	tech	0.006	intelligence	0.006	openai	0.011	crypto
3	0.010	bard	0.006	machinelearning	0.006	technology	0.005	answer	0.009	web
4	0.010	openai	0.006	midjourney	0.005	artificial	0.005	write	0.009	chatbot
5	0.010	search	0.005	art	0.005	elonmusk	0.005	model	0.009	nft
6	0.009	amp	0.005	technology	0.005	news	0.005	human	0.007	chatgpt
7	0.007	technology	0.004	life	0.005	gpt	0.005	asked	0.006	code
8	0.006	write	0.004	microsoft	0.004	youtube	0.004	time	0.006	airdrop
9	0.005	tech	0.004	generativeai	0.004	world	0.004	work	0.005	amp
10	0.005	business	0.004	chatgpt	0.004	read	0.004	read	0.005	data
11	0.005	time	0.004	model	0.004	make	0.004	tool	0.004	users
12	0.005	asked	0.004	deeplearning	0.004	content	0.004	questions	0.004	programming
13	0.004	marketing	0.004	week	0.004	latest	0.004	content	0.004	ready
14	0.003	world	0.004	api	0.004	trading	0.004	text	0.003	bing
15	0.003	free	0.003	python	0.004	tools	0.004	writing	0.003	world
16	0.003	education	0.003	bing	0.004	chatbot	0.004	give	0.003	python
17	0.003	engine	0.003	aiart	0.004	stocks	0.003	information	0.003	btc
18	0.003	writing	0.003	data	0.004	check	0.003	gpt	0.003	coding
19	0.003	content	0.003	love	0.004	tech	0.003	models	0.003	future
